23.05.20,2023 MSI 브래킷 스테이지,BLG XUN,승,8,1,1,9,64%
23.05.20,2023 MSI 브래킷 스테이지,BLG Bin,승,2,2,5,3.5,50%
23.05.20,2023 MSI 브래킷 스테이지,T1 Keria,패,1,3,1,0.7,50%
23.05.20,2023 MSI 브래킷 스테이지,T1 Gumayusi,패,1,3,1,0.7,50%
23.05.20,2023 MSI 브래킷 스테이지,T1 Faker,패,0,2,2,1,50%
23.05.20,2023 MSI 브래킷 스테이지,T1 Oner,패,2,2,2,2,100%
23.05.20,2023 MSI 브래킷 스테이지,T1 Zeus,패,0,4,2,0.5,50%
23.05.20,2023 MSI 브래킷 스테이지,T1 Keria,패,3,4,8,2.8,79%
23.05.20,2023 MSI 브래킷 스테이지,T1 Gumayusi,패,3,4,6,2.3,64%
23.05.20,2023 MSI 브래킷 스테이지,T1 Faker,패,1,6,5,1,43%
23.05.20,2023 MSI 브래킷 스테이지,T1 Oner,패,3,6,7,1.7,71%
23.05.20,2023 MSI 브래킷 스테이지,T1 Zeus,패,4,3,5,3,64%
23.05.20,2023 MSI 브래킷 스테이지,BLG ON,승,2,2,20,11,96%
23.05.20,2023 MSI 브래킷 스테이지,BLG Elk,승,12,3,10,7.3,96%
23.05.20,2023 MSI 브래킷 스테이지,BLG Yagao,승,1,4,15,4,70%
23.05.20,2023 MSI 브래킷 스테이지,BLG XUN,승,7,4,12,4.8,83%
23.05.20,2023 MSI 브래킷 스테이지,BLG Bin,승,1,1,6,7,30%
23.05.19,2023 MSI 브래킷 스테이지,BLG ON,승,4,3,12,5.3,55%
23.05.19,2023 MSI 브래킷 스테이지,BLG Elk,승,16,1,11,27,93%
23.05.19,2023 MSI 브래킷 스테이지,BLG Yagao,승,4,3,20,8,83%
23.05.19,2023 MSI 브래킷 스테이지,BLG XUN,승,2,6,12,2.3,48%
23.05.19,2023 MSI 브래킷 스테이지,BLG Bin,승,3,4,18,5.3,72%
23.05.19,2023 MSI 브래킷 스테이지,GEN Delight,패,2,7,9,1.6,65%
23.05.19,2023 MSI 브래킷 스테이지,GEN Peyz,패,7,4,7,3.5,82%
23.05.19,2023 MSI 브래킷 스테이지,GEN Chovy,패,0,7,10,1.4,59%
23.05.19,2023 MSI 브래킷 스테이지,GEN Peanut,패,7,4,7,3.5,82%
23.05.19,2023 MSI 브래킷 스테이지,GEN Doran,패,1,7,10,1.6,65%
23.05.19,2023 MSI 브래킷 스테이지,BLG ON,승,0,5,14,2.8,78%
